,x,uk,mk,p
0,1,1.0,1.712,0.2
1,2,1.0,3.462,0.2
2,3,1.0,4.93,0.2
3,4,1.0,6.686,0.2
4,5,1.0,8.376,0.2
5,6,1.0,10.224,0.2
6,7,1.0,11.61,0.2
7,8,1.0,13.586,0.2
8,9,1.0,15.098,0.2
9,10,1.0,16.4,0.2
10,11,1.0,18.204,0.2
11,12,1.0,20.084,0.2
12,13,1.0,21.488,0.2
13,14,1.0,23.286,0.2
14,15,1.0,24.94,0.2
15,16,1.0,26.348,0.2
16,17,1.0,28.236,0.2
17,18,1.0,29.976,0.2
18,19,1.0,31.668,0.2
19,20,1.0,33.188,0.2
20,21,1.0,35.028,0.2
21,22,1.0,36.466,0.2
22,23,1.0,37.882,0.2
23,24,1.0,39.844,0.2
24,25,1.0,41.5,0.2
25,26,1.0,43.846,0.2
26,27,1.0,45.788,0.2
27,28,1.0,46.47,0.2
28,29,1.0,48.334,0.2
29,30,1.0,49.996,0.2
30,31,1.0,51.432,0.2
31,32,1.0,53.524,0.2
32,33,1.0,55.174,0.2
33,34,1.0,57.042,0.2
34,35,1.0,58.574,0.2
35,36,1.0,60.072,0.2
36,37,1.0,62.014,0.2
37,38,1.0,63.812,0.2
38,39,1.0,64.25,0.2
39,40,1.0,66.636,0.2
40,41,1.0,68.272,0.2
41,42,1.0,69.602,0.2
42,43,1.0,71.568,0.2
43,44,0.999,73.296,0.2
44,45,0.999,74.88,0.2
45,46,0.993,76.13,0.2
46,47,0.981,76.734,0.2
47,48,0.938,75.7,0.2
48,49,0.793,64.338,0.2
49,1,1.0,4.462,0.4
50,2,1.0,9.422,0.4
51,3,1.0,15.108,0.4
52,4,1.0,19.926,0.4
53,5,1.0,25.152,0.4
54,6,1.0,29.72,0.4
55,7,1.0,36.6,0.4
56,8,1.0,38.026,0.4
57,9,1.0,46.17,0.4
58,10,1.0,50.884,0.4
59,11,1.0,55.866,0.4
60,12,1.0,61.41,0.4
61,13,1.0,66.194,0.4
62,14,1.0,72.782,0.4
63,15,1.0,75.478,0.4
64,16,1.0,80.202,0.4
65,17,1.0,86.464,0.4
66,18,1.0,90.72,0.4
67,19,1.0,95.152,0.4
68,20,1.0,100.986,0.4
69,21,1.0,103.458,0.4
70,22,1.0,110.174,0.4
71,23,1.0,113.926,0.4
72,24,1.0,120.232,0.4
73,25,1.0,124.628,0.4
74,26,1.0,128.26,0.4
75,27,0.999,132.82,0.4
76,28,0.999,138.376,0.4
77,29,1.0,141.908,0.4
78,30,1.0,150.014,0.4
79,31,1.0,155.232,0.4
80,32,0.999,157.976,0.4
81,33,0.998,163.444,0.4
82,34,0.997,166.176,0.4
83,35,0.996,168.532,0.4
84,36,0.996,175.98,0.4
85,37,0.994,183.76,0.4
86,38,0.996,183.91,0.4
87,39,0.988,193.472,0.4
88,40,0.976,191.434,0.4
89,41,0.974,198.474,0.4
90,42,0.971,201.84,0.4
91,43,0.939,197.118,0.4
92,44,0.921,197.884,0.4
93,45,0.861,190.79,0.4
94,46,0.8,175.276,0.4
95,47,0.689,155.124,0.4
96,48,0.564,132.57,0.4
97,49,0.35,84.726,0.4
98,1,1.0,9.406,0.45
99,2,1.0,19.23,0.45
100,3,1.0,31.368,0.45
101,4,1.0,35.208,0.45
102,5,0.999,50.362,0.45
103,6,1.0,60.796,0.45
104,7,1.0,75.668,0.45
105,8,1.0,83.354,0.45
106,9,1.0,91.026,0.45
107,10,1.0,102.25,0.45
108,11,1.0,109.98,0.45
109,12,0.999,119.168,0.45
110,13,0.999,134.152,0.45
111,14,1.0,139.426,0.45
112,15,0.999,148.752,0.45
113,16,0.997,158.172,0.45
114,17,0.999,165.304,0.45
115,18,0.999,182.226,0.45
116,19,0.997,191.712,0.45
117,20,0.995,205.852,0.45
118,21,0.995,209.726,0.45
119,22,0.998,215.724,0.45
120,23,0.996,217.718,0.45
121,24,0.996,235.03,0.45
122,25,0.995,248.908,0.45
123,26,0.993,253.68,0.45
124,27,0.99,259.306,0.45
125,28,0.992,266.026,0.45
126,29,0.985,285.408,0.45
127,30,0.974,293.278,0.45
128,31,0.978,300.224,0.45
129,32,0.97,311.414,0.45
130,33,0.961,317.098,0.45
131,34,0.96,322.856,0.45
132,35,0.955,330.52,0.45
133,36,0.941,329.816,0.45
134,37,0.92,330.138,0.45
135,38,0.917,336.128,0.45
136,39,0.88,338.284,0.45
137,40,0.859,329.966,0.45
138,41,0.833,330.956,0.45
139,42,0.776,312.038,0.45
140,43,0.769,301.448,0.45
141,44,0.695,294.074,0.45
142,45,0.648,276.042,0.45
143,46,0.552,232.784,0.45
144,47,0.438,196.534,0.45
145,48,0.346,152.332,0.45
146,49,0.178,83.428,0.45
147,1,0.982,46.988,0.5
148,2,0.96,107.294,0.5
149,3,0.934,149.566,0.5
150,4,0.911,171.258,0.5
151,5,0.902,216.068,0.5
152,6,0.897,251.936,0.5
153,7,0.849,305.026,0.5
154,8,0.827,355.124,0.5
155,9,0.833,334.364,0.5
156,10,0.785,395.254,0.5
157,11,0.773,456.392,0.5
158,12,0.79,421.194,0.5
159,13,0.75,453.946,0.5
160,14,0.697,501.67,0.5
161,15,0.685,527.132,0.5
162,16,0.647,572.574,0.5
163,17,0.667,539.368,0.5
164,18,0.634,583.776,0.5
165,19,0.617,577.922,0.5
166,20,0.604,611.486,0.5
167,21,0.556,611.484,0.5
168,22,0.545,640.928,0.5
169,23,0.533,620.894,0.5
170,24,0.551,654.204,0.5
171,25,0.477,621.05,0.5
172,26,0.487,617.384,0.5
173,27,0.448,609.072,0.5
174,28,0.433,647.82,0.5
175,29,0.442,606.998,0.5
176,30,0.424,603.784,0.5
177,31,0.401,604.796,0.5
178,32,0.375,555.468,0.5
179,33,0.34,535.658,0.5
